Wall time,Step,Value
1587402884.308015,5,0.0
1587402897.562896,15,1.0
1587402900.416007,18,0.0
1587402906.176054,24,3.0
1587402921.817313,40,0.0
1587402922.943224,42,0.0
1587402924.520207,44,0.0
1587402925.079379,45,0.0
1587402927.003391,47,2.0
1587402931.029708,53,0.0
1587402931.609957,54,0.0
1587402932.828298,56,1.0
1587402938.527805,65,0.0
1587402943.689347,71,3.0
1587402944.241177,72,0.0
1587402944.871843,73,1.0
1587402945.750616,74,1.0
1587402949.522743,79,1.0
1587402955.384049,87,1.0
1587402960.610971,94,0.0
1587402966.505505,102,3.0
1587402969.30979,105,2.0
1587402970.058253,106,1.0
1587402975.950097,113,3.0
1587402979.354684,118,0.0
1587402984.88862,126,0.0
1587402986.771262,129,0.0
1587402987.351752,130,0.0
1587402994.044405,139,1.0
1587402995.383627,141,1.0
1587402996.287799,142,2.0
1587403002.25013,150,0.0
1587403005.811218,155,0.0
1587403007.162105,157,0.0
1587403007.951652,158,1.0
1587403015.066825,167,3.0
1587403015.763574,168,1.0
1587403018.143192,171,3.0
1587403024.485127,177,2.0
1587403025.014198,178,0.0
1587403029.169949,183,0.0
1587403031.06087,185,5.0
1587403032.116423,186,3.0
1587403035.383446,190,0.0
1587403035.919378,191,0.0
1587403041.819754,198,0.0
1587403047.251953,206,0.0
1587403047.959558,207,1.0
1587403048.583137,208,1.0
1587403051.961309,212,1.0
1587403060.788726,223,2.0
1587403066.070533,229,1.0
1587403070.101257,234,3.0
1587403072.058471,237,0.0
1587403081.593264,249,3.0
1587403085.365191,255,0.0
1587403089.413274,260,0.0
1587403091.480734,263,0.0
1587403094.921844,267,3.0
1587403097.525216,271,0.0
1587403098.868353,273,2.0
1587403105.031227,278,3.0
1587403131.67054,292,0.0
1587403142.586953,297,3.0
1587403144.331538,298,1.0
1587403155.110704,303,1.0
1587403162.940884,307,0.0
1587403164.67476,308,1.0
1587403168.507304,310,2.0
1587403182.4015,318,2.0
1587403184.339933,319,1.0
1587403194.70734,325,0.0
1587403197.394637,326,3.0
1587403198.807065,327,0.0
1587403204.928859,330,1.0
1587403220.036466,339,1.0
1587403234.054292,347,1.0
1587403262.398501,363,0.0
1587403269.746218,367,1.0
1587403280.521204,373,2.0
1587403288.575586,377,1.0
1587403291.748501,379,0.0
1587403313.275013,391,1.0
1587403315.707674,392,2.0
1587403346.078407,408,1.0
1587403370.133783,421,0.0
1587403373.075091,422,3.0
1587403376.899798,424,1.0
1587403387.433012,430,1.0
1587403403.651229,439,1.0
1587403407.436729,441,0.0
1587403409.892471,442,2.0
1587403414.950575,445,0.0
1587403425.346037,451,1.0
1587403440.642067,460,0.0
1587403445.924095,463,2.0
1587403448.102327,464,2.0
1587403465.767225,473,0.0
1587403467.157071,474,0.0
1587403494.79825,489,0.0
1587403498.4048,491,2.0
1587403501.58066,493,1.0
1587403527.454275,507,0.0
1587403540.574353,512,2.0
1587403543.901481,514,1.0
1587403548.657841,517,1.0
1587403563.252765,525,4.0
1587403572.506654,531,0.0
1587403576.201812,533,0.0
1587403580.781883,536,0.0
1587403591.500437,542,3.0
1587403598.881686,547,0.0
1587403600.992057,548,2.0
1587403618.120065,557,0.0
1587403621.812077,559,2.0
1587403629.855317,563,1.0
1587403631.249722,564,0.0
1587403639.432776,569,1.0
1587403647.162223,573,2.0
1587403649.541511,574,3.0
1587403659.011253,579,3.0
1587403663.733988,581,2.0
1587403665.377244,582,0.0
1587403668.812934,584,0.0
1587403673.243548,586,2.0
1587403674.615791,587,0.0
1587403683.677718,592,2.0
1587403685.385567,593,1.0
1587403703.114698,602,0.0
1587403714.009378,608,2.0
1587403717.541486,610,2.0
1587403726.299475,615,0.0
1587403734.087862,620,1.0
1587403737.104754,622,0.0
1587403758.43709,634,0.0
1587403768.883649,641,2.0
1587403770.475148,642,1.0
1587403773.448907,644,0.0
1587403774.870381,645,0.0
1587403777.474466,646,3.0
1587403778.892326,647,0.0
1587403782.751977,649,1.0
1587403788.606831,652,0.0
1587403795.999753,656,1.0
1587403804.32518,661,1.0
1587403809.618458,664,0.0
1587403817.871341,668,4.0
1587403824.032678,671,2.0
1587403825.739315,672,0.0
1587403829.753023,674,3.0
1587403832.031453,675,2.0
1587403836.670448,678,1.0
1587403838.531399,679,1.0
1587403844.142251,682,1.0
1587403845.548021,683,0.0
1587403854.367527,688,0.0
1587403857.158355,689,3.0
1587403870.166904,696,0.0
1587403877.291578,699,7.0
1587403883.736376,703,0.0
1587403888.940163,706,1.0
1587403891.663521,708,0.0
1587403895.162297,710,0.0
1587403903.727962,714,3.0
1587403911.603349,718,0.0
1587403918.58628,721,6.0
1587403920.255643,722,0.0
1587403922.35115,723,1.0
1587403925.142852,724,3.0
1587403939.034724,730,5.0
1587403951.020028,736,1.0
1587403955.161295,738,0.0
1587403956.970906,739,1.0
1587403963.776526,743,1.0
1587403971.299283,747,2.0
1587403977.012131,750,0.0
1587403978.336258,751,0.0
1587403980.030149,752,1.0
1587403983.545238,754,0.0
1587403986.853593,756,0.0
1587404002.257152,765,0.0
1587404004.33711,766,2.0
1587404009.844754,769,0.0
1587404011.20472,770,0.0
1587404013.398955,771,2.0
1587404017.8693,773,3.0
1587404019.345491,774,0.0
1587404033.150589,780,1.0
1587404042.47426,784,6.0
1587404044.17495,785,1.0
1587404046.892034,787,0.0
1587404050.218724,789,0.0
1587404055.039804,792,0.0
1587404057.807956,793,3.0
1587404059.237331,794,0.0
1587404060.614944,795,0.0
1587404066.45877,798,1.0
1587404073.508145,802,2.0
1587404078.512843,805,1.0
1587404082.205154,807,1.0
1587404084.058704,808,1.0
1587404085.867141,809,1.0
1587404098.551658,815,3.0
1587404100.421397,816,1.0
1587404108.660786,821,0.0
1587404115.831492,825,2.0
1587404120.340444,828,1.0
1587404129.941283,832,3.0
1587404138.221339,836,2.0
1587404141.45166,838,0.0
1587404149.469743,843,0.0
1587404154.584749,846,1.0
1587404196.937715,867,3.0
1587404201.341428,869,1.0
1587404204.063962,870,3.0
1587404210.96149,874,1.0
1587404215.297694,876,2.0
1587404221.97491,880,0.0
1587404227.540469,882,4.0
1587404230.427815,884,0.0
1587404243.845924,890,0.0
1587404255.056878,896,0.0
1587404262.34058,900,1.0
1587404275.196241,907,2.0
1587404276.829902,908,1.0
1587404278.221297,909,0.0
1587404279.663065,910,0.0
1587404288.131894,915,0.0
1587404291.469118,917,1.0
1587404296.52204,920,1.0
1587404298.830073,921,2.0
1587404301.510022,922,3.0
1587404302.88636,923,0.0
1587404317.172835,931,0.0
1587404319.223318,932,1.0
1587404324.305394,935,0.0
1587404337.246453,942,1.0
1587404342.360329,945,0.0
1587404360.879829,954,1.0
1587404364.642797,956,1.0
1587404367.295903,957,3.0
1587404369.727757,958,3.0
1587404375.450737,961,0.0
1587404377.797656,962,3.0
1587404385.655219,966,0.0
1587404394.915919,971,0.0
1587404396.322888,972,0.0
1587404404.850679,976,4.0
1587404407.702604,977,3.0
1587404409.713733,978,1.0
1587404411.906573,979,2.0
1587404419.91007,983,2.0
1587404421.325055,984,0.0
1587404427.640718,987,2.0
1587404430.328692,988,3.0
1587404445.236981,996,2.0
1587404452.177657,1000,1.0
1587404456.007868,1002,2.0
1587404459.895393,1004,1.0
1587404461.470789,1005,0.0
1587404474.496058,1012,1.0
1587404476.845333,1013,2.0
1587404480.023065,1014,4.0
1587404485.532139,1017,0.0
1587404497.690644,1025,1.0
1587404500.713085,1027,1.0
1587404509.720473,1031,3.0
1587404511.284792,1032,0.0
1587404516.209817,1035,1.0
1587404519.788604,1037,0.0
1587404531.026439,1044,0.0
1587404553.742031,1055,1.0
1587404557.032637,1057,0.0
1587404567.915351,1063,2.0
1587404569.797208,1064,1.0
1587404573.045549,1066,0.0
1587404577.324108,1068,2.0
1587404584.697186,1072,1.0
1587404590.526306,1076,0.0
1587404593.784884,1078,0.0
1587404602.135066,1083,2.0
1587404604.009328,1084,1.0
1587404606.257324,1085,2.0
1587404622.524192,1093,3.0
1587404634.17771,1099,0.0
1587404641.723416,1103,1.0
1587404643.886706,1104,1.0
1587404645.99688,1105,2.0
1587404663.815101,1114,2.0
1587404666.736202,1116,0.0
1587404672.982143,1119,1.0
1587404683.884903,1125,0.0
1587404685.479793,1126,1.0
1587404698.26582,1133,1.0
1587404701.058874,1135,0.0
1587404735.897351,1155,1.0
1587404737.24816,1156,0.0
1587404738.849944,1157,0.0
1587404744.432071,1160,2.0
1587404746.088699,1161,1.0
1587404747.532791,1162,0.0
1587404780.204783,1180,1.0
1587404784.818342,1183,2.0
1587404788.132133,1185,1.0
1587404799.172905,1192,0.0
1587404800.487054,1193,0.0
1587404807.196686,1197,1.0
1587404810.860264,1199,1.0
1587404815.590712,1201,2.0
1587404824.054545,1206,1.0
1587404827.2929,1208,1.0
1587404831.295419,1210,2.0
1587404838.016428,1214,2.0
1587404857.37782,1224,0.0
1587404874.12334,1232,0.0
1587404875.537963,1233,0.0
1587404877.793453,1234,2.0
1587404882.040717,1236,1.0
1587404887.32549,1239,0.0
1587404893.856913,1242,3.0
1587404896.708009,1244,0.0
1587404902.122119,1247,0.0
1587404914.897247,1253,4.0
1587404918.156959,1255,1.0
1587404921.528485,1257,0.0
1587404923.409253,1258,1.0
1587404929.016659,1261,1.0
1587404933.945671,1263,2.0
1587404938.293847,1266,0.0
1587404953.178732,1274,2.0
1587404966.661561,1281,3.0
1587404978.597813,1287,1.0
1587404987.077219,1291,2.0
1587404988.537701,1292,0.0
1587404989.993157,1293,0.0
1587404991.652971,1294,1.0
1587405003.252864,1300,0.0
1587405010.608224,1303,2.0
1587405024.718299,1310,1.0
1587405029.102224,1312,3.0
1587405035.574774,1315,2.0
1587405037.874228,1316,2.0
1587405043.240582,1319,1.0
1587405056.551398,1325,2.0
1587405059.817332,1327,1.0
1587405065.346419,1330,1.0
1587405071.934403,1333,5.0
1587405073.809178,1334,1.0
1587405078.20927,1336,1.0
1587405080.454388,1337,1.0
1587405093.74821,1343,4.0
1587405120.791771,1355,2.0
1587405142.835215,1366,0.0
1587405150.311039,1370,0.0
1587405169.043057,1377,7.0
1587405172.804952,1379,0.0
1587405184.396456,1384,0.0
1587405185.990088,1385,1.0
1587405191.113418,1388,1.0
1587405194.276728,1389,4.0
1587405198.055803,1391,1.0
1587405201.89207,1392,6.0
1587405207.974875,1395,0.0
1587405245.127144,1412,0.0
1587405248.464949,1413,5.0
1587405249.892906,1414,0.0
1587405263.257796,1419,2.0
1587405270.279077,1422,2.0
1587405279.065288,1426,6.0
1587405280.574013,1427,0.0
1587405282.348741,1428,1.0
1587405291.761254,1432,0.0
1587405293.454236,1433,1.0
1587405299.729757,1436,3.0
1587405308.2148,1440,3.0
1587405311.021896,1442,0.0
1587405337.488745,1455,2.0
1587405339.871617,1456,3.0
1587405358.303457,1465,1.0
1587405360.645663,1466,2.0
1587405387.072441,1477,2.0
1587405405.010896,1485,3.0
1587405408.13148,1486,4.0
1587405415.512285,1489,3.0
1587405419.697181,1491,0.0
1587405421.385417,1492,0.0
1587405437.38634,1500,0.0
1587405440.150704,1501,4.0
1587405441.593475,1502,0.0
1587405449.853686,1506,1.0
1587405454.181981,1508,2.0
1587405460.449138,1510,5.0
1587405476.573719,1518,2.0
1587405488.210344,1523,3.0
1587405491.189067,1524,3.0
1587405497.125935,1527,1.0
1587405513.212815,1534,1.0
1587405540.373712,1546,5.0
1587405555.498894,1551,6.0
1587405557.868353,1552,2.0
1587405562.910502,1554,3.0
1587405565.204849,1555,2.0
1587405580.83509,1561,1.0
1587405600.110473,1568,3.0
1587405602.146003,1569,1.0
1587405620.559731,1578,0.0
1587405626.968707,1582,0.0
1587405631.327011,1584,1.0
1587405641.912139,1588,1.0
1587405661.797443,1597,3.0
1587405676.919897,1602,2.0
1587405682.427284,1604,2.0
1587405684.177202,1605,1.0
1587405696.075728,1610,4.0
1587405718.646897,1618,3.0
1587405724.227015,1620,5.0
1587405739.290211,1627,0.0
1587405742.041504,1628,4.0
1587405751.34608,1632,2.0
1587405765.584054,1637,2.0
1587405773.400325,1640,4.0
1587405777.778412,1642,4.0
1587405785.226684,1645,1.0
1587405793.16037,1648,7.0
1587405800.530505,1652,0.0
1587405822.059597,1660,4.0
1587405841.134744,1668,2.0
1587405846.59311,1670,4.0
1587405850.143532,1672,0.0
1587405857.318682,1675,1.0
1587405860.535951,1676,5.0
1587405876.108211,1682,4.0
1587405878.67685,1683,3.0
1587405903.801053,1691,2.0
1587405911.137333,1694,5.0
1587405916.004553,1695,7.0
1587405919.769831,1696,6.0
1587405922.869336,1697,4.0
1587405927.408749,1699,1.0
1587405937.361448,1702,4.0
1587405956.376525,1709,5.0
1587405958.344105,1710,2.0
1587405972.90321,1715,5.0
1587405977.762543,1717,1.0
1587405981.550581,1718,6.0
1587405983.429095,1719,1.0
1587406006.014615,1728,3.0
1587406015.327701,1732,2.0
1587406024.997791,1734,14.0
1587406027.513949,1735,3.0
1587406033.147066,1737,4.0
1587406047.105546,1742,2.0
1587406049.461717,1743,3.0
1587406053.587306,1745,1.0
1587406056.315367,1746,3.0
1587406058.932908,1747,3.0
1587406064.288766,1750,1.0
1587406070.35768,1752,3.0
1587406074.949497,1754,0.0
1587406105.900472,1766,4.0
1587406135.539819,1775,9.0
1587406153.651442,1781,2.0
1587406155.588047,1782,1.0
1587406171.034395,1788,5.0
1587406172.943498,1789,1.0
1587406196.453465,1798,4.0
1587406209.593987,1805,2.0
1587406229.271873,1813,2.0
1587406232.604012,1814,5.0
1587406242.112003,1817,5.0
1587406261.919366,1824,2.0
1587406270.34496,1826,9.0
1587406281.286089,1830,7.0
1587406305.332478,1840,4.0
1587406307.335302,1841,2.0
1587406313.120954,1844,2.0
1587406325.754304,1849,4.0
1587406334.917385,1853,0.0
1587406366.04009,1866,4.0
1587406371.819462,1868,4.0
1587406373.22654,1869,0.0
1587406385.02909,1875,0.0
1587406386.789499,1876,1.0
1587406388.332206,1877,1.0
1587406392.562734,1879,1.0
1587406398.351493,1881,4.0
1587406426.562633,1893,1.0
1587406445.950776,1902,2.0
1587406456.266189,1906,0.0
1587406472.007181,1911,5.0
1587406475.84551,1912,6.0
1587406486.788825,1917,1.0
1587406501.850059,1923,3.0
1587406503.961321,1924,2.0
1587406520.159291,1930,6.0
1587406530.257423,1934,3.0
1587406534.917921,1936,3.0
1587406538.850484,1938,1.0
1587406551.561089,1944,3.0
1587406557.219086,1947,1.0
1587406561.112127,1949,2.0
1587406566.367586,1952,2.0
1587406575.218734,1955,2.0
1587406585.373316,1958,7.0
1587406588.871384,1960,2.0
1587406607.077643,1967,2.0
