step,consistency,sensitivity,fitness
263,0.937359154224396,0.920266509056091,91.5407104492188
265,0.959220588207245,0.957733273506165,94.4562530517578
266,0.971640229225159,0.966733276844025,96.1856918334961
267,0.973312497138977,0.966799974441528,96.374137878418
268,0.969134390354156,0.963599979877472,95.8190841674805
269,0.974593818187714,0.973599910736084,96.798828125
270,0.960313975811005,0.970933318138123,95.2387466430664
271,0.979416608810425,0.972733318805695,97.0074996948242
272,0.976887106895447,0.97460001707077,97.0738296508789
273,0.966050028800964,0.973466694355011,96.056884765625
274,0.95611697435379,0.971666574478149,95.0036468505859
275,0.963488101959229,0.966933369636536,95.650634765625
276,0.977189064025879,0.973066627979279,97.0205230712891
277,0.970131278038025,0.96973329782486,96.1413116455078
278,0.97689414024353,0.969200015068054,96.7701644897461
279,0.958280861377716,0.969866812229156,95.0551376342773
280,0.975273609161377,0.976000010967255,96.9828491210938
281,0.975544631481171,0.964333176612854,96.0494384765625
282,0.975177705287933,0.976866602897644,97.1074371337891
283,0.973469257354736,0.97299998998642,96.8246154785156
284,0.968940615653992,0.972266614437103,96.3388595581055
285,0.971910715103149,0.973133385181427,96.4307479858398
286,0.975378692150116,0.972333371639252,96.6839904785156
287,0.978336215019226,0.96586662530899,96.3288879394531
288,0.95413339138031,0.970266699790955,94.6726455688477
