Wall time,Step,Value
1593023657.950893,0,0.5002567768096924
1593023673.996701,40,0.4149217903614044
1593023690.03693,80,0.3635820746421814
1593023706.142624,120,0.3309749364852905
1593023721.93831,160,0.3018642067909241
1593023737.814263,200,0.28810951113700867
1593023753.621917,240,0.25862938165664673
1593023769.439583,280,0.22890296578407288
1593023785.276269,320,0.2156832367181778
1593023801.144043,360,0.21233105659484863
1593023817.033211,400,0.18586941063404083
1593023832.941513,440,0.17009258270263672
1593023848.790114,480,0.16251377761363983
1593023864.600675,520,0.1367010921239853
1593023880.411569,560,0.1221623346209526
1593023896.26302,600,0.11750662326812744
1593023912.05697,640,0.11596149206161499
1593023928.010435,680,0.09378590434789658
1593023943.873845,720,0.09183786064386368
1593023959.656147,760,0.08566279709339142
1593023975.452901,800,0.08228344470262527
1593023991.406339,840,0.061785537749528885
1593024007.41053,880,0.05086212232708931
1593024023.115776,920,0.049289051443338394
1593024039.048123,960,0.03055342473089695
1593024054.883494,1000,0.0351448580622673
1593024070.729266,1040,0.0519079715013504
1593024086.555364,1080,0.033516447991132736
1593024102.459884,1120,0.02806488238275051
1593024118.194333,1160,0.019271571189165115
1593024134.131147,1200,0.02405276894569397
1593024150.008888,1240,0.03306111693382263
1593024165.863062,1280,0.023989925161004066
1593024181.603895,1320,0.029589373618364334
1593024197.560071,1360,0.016634972766041756
1593024213.407451,1400,0.04723288491368294
1593024229.480966,1440,0.044713083654642105
1593024245.416498,1480,0.030022554099559784
1593024261.382754,1520,0.02902832068502903
