Wall time,Step,Value
1587465901.858652,3401,40.0
1587465912.424373,3402,26.0
1587465918.019251,3403,13.0
1587465922.690605,3404,11.0
1587465933.069859,3405,27.0
1587465939.284564,3406,14.0
1587465949.35768,3407,26.0
1587465954.123382,3408,10.0
1587465965.654933,3409,29.0
1587465979.23006,3410,37.0
1587465987.929896,3411,22.0
1587465995.375076,3412,17.0
1587466013.212289,3413,49.0
1587466025.799959,3414,34.0
1587466032.598162,3415,16.0
1587466041.979782,3416,22.0
1587466052.030463,3417,25.0
1587466063.466776,3418,29.0
1587466073.231823,3419,23.0
1587466088.59105,3420,42.0
1587466098.824594,3421,25.0
1587466114.975514,3422,40.0
1587466125.356429,3423,28.0
1587466139.467496,3424,40.0
1587466148.404725,3425,22.0
1587466162.90418,3426,38.0
1587466173.599718,3427,29.0
1587466184.188907,3428,24.0
1587466199.091883,3429,39.0
1587466214.08059,3430,38.0
1587466221.639387,3431,18.0
1587466231.35193,3432,25.0
1587466247.685142,3433,44.0
1587466256.335871,3434,24.0
1587466261.924834,3435,14.0
1587466272.349274,3436,25.0
1587466280.091796,3437,19.0
1587466296.707412,3438,43.0
1587466311.634172,3439,36.0
1587466322.723252,3440,29.0
1587466334.727857,3441,32.0
1587466343.010675,3442,18.0
1587466351.394505,3443,18.0
1587466365.252577,3444,38.0
1587466379.805522,3445,36.0
1587466390.498873,3446,27.0
1587466399.91737,3447,23.0
1587466411.741496,3448,31.0
1587466421.142787,3449,23.0
1587466430.903194,3450,25.0
1587466442.237125,3451,30.0
1587466451.03992,3452,21.0
1587466465.820858,3453,37.0
1587466478.603796,3454,35.0
1587466490.224314,3455,29.0
1587466502.076642,3456,29.0
1587466512.358652,3457,25.0
1587466520.492767,3458,20.0
1587466531.611648,3459,27.0
1587466544.406515,3460,33.0
1587466556.739559,3461,30.0
1587466570.176472,3462,33.0
1587466578.44665,3463,21.0
1587466585.503539,3464,17.0
1587466597.266095,3465,29.0
1587466611.595061,3466,39.0
1587466624.895261,3467,37.0
1587466635.51477,3468,29.0
1587466641.963068,3469,15.0
1587466655.088948,3470,38.0
1587466669.057047,3471,35.0
1587466680.526046,3472,27.0
1587466696.087719,3473,38.0
1587466707.07676,3474,27.0
1587466714.150396,3475,17.0
1587466724.521093,3476,26.0
1587466733.626685,3477,24.0
1587466745.737964,3478,29.0
1587466757.719361,3479,32.0
1587466769.225301,3480,29.0
1587466779.772972,3481,28.0
1587466789.397149,3482,24.0
1587466800.208719,3483,27.0
1587466809.514311,3484,24.0
