Wall time,Step,Value
1593077404.408094,0,0.5001040697097778
1593077420.570051,40,0.40521901845932007
1593077436.391548,80,0.30861303210258484
1593077452.268929,120,0.22928118705749512
1593077468.191672,160,0.17225545644760132
1593077484.043664,200,0.14703527092933655
1593077499.892219,240,0.12146443873643875
1593077515.799198,280,0.10730767995119095
1593077531.820111,320,0.1070404052734375
1593077547.80985,360,0.08400998264551163
1593077563.782166,400,0.06459077447652817
1593077579.622532,440,0.059470467269420624
1593077595.625596,480,0.05789785832166672
1593077611.526295,520,0.05357127636671066
1593077627.425889,560,0.054040487855672836
1593077643.420806,600,0.046624016016721725
1593077659.441815,640,0.05630238726735115
1593077675.294561,680,0.042723290622234344
1593077691.091693,720,0.0506080687046051
1593077707.012974,760,0.04297860339283943
1593077722.8194,800,0.06258124113082886
1593077738.647977,840,0.03760112449526787
1593077754.555745,880,0.03831576555967331
1593077770.466366,920,0.06626369059085846
1593077786.318888,960,0.05865571275353432
1593077802.190806,1000,0.05329034850001335
1593077818.067408,1040,0.034523855894804
1593077833.960175,1080,0.04047302529215813
1593077849.940401,1120,0.030313488095998764
1593077865.877984,1160,0.035933785140514374
1593077881.738024,1200,0.047699593007564545
1593077897.602228,1240,0.04825330525636673
1593077913.476569,1280,0.03753727301955223
1593077929.386191,1320,0.03831338509917259
1593077945.403729,1360,0.03469577431678772
1593077961.267701,1400,0.03495540842413902
1593077977.067823,1440,0.03080611117184162
1593077992.845262,1480,0.03189103305339813
1593078008.892905,1520,0.044254451990127563
1593078024.826682,1560,0.0440378300845623
1593078040.807214,1600,0.05185530334711075
1593078056.655602,1640,0.03154229745268822
1593078072.611729,1680,0.035200122743844986
1593078088.412134,1720,0.035035353153944016
1593078104.263123,1760,0.03801071271300316
1593078120.203953,1800,0.017057567834854126
1593078136.220572,1840,0.02351122349500656
1593078152.116521,1880,0.030128944665193558
1593078168.074688,1920,0.02334742806851864
1593078184.067296,1960,0.02593103051185608
1593078200.143384,2000,0.02632438763976097
1593078216.159026,2040,0.02434280328452587
