step,consistency,sensitivity,fitness
90,0.725501179695129,0.507333099842072,63.5663757324219
93,0.757692396640778,0.507999777793884,65.3093032836914
94,0.772862792015076,0.516599595546722,66.0485534667969
95,0.775325000286102,0.515466332435608,65.9999465942383
96,0.767681300640106,0.51153302192688,65.6025695800781
97,0.770810127258301,0.51399964094162,65.8325653076172
98,0.777612388134003,0.516932964324951,66.1415863037109
99,0.75546407699585,0.518799602985382,65.2942810058594
100,0.775435507297516,0.519732892513275,66.2880172729492
101,0.773298740386963,0.518532931804657,66.1310882568359
102,0.753159463405609,0.509399771690369,65.1172866821289
103,0.761431455612183,0.514866292476654,65.4460372924805
104,0.749075889587402,0.518132925033569,64.9286651611328
105,0.752943396568298,0.520466208457947,65.1167144775391
106,0.769480586051941,0.518599629402161,66.1020660400391
107,0.781082034111023,0.520799577236176,66.3155364990234
108,0.783132255077362,0.525066137313843,66.6116714477539
109,0.779294848442078,0.522799491882324,66.4963684082031
110,0.713344216346741,0.509199678897858,63.2981376647949
111,0.764450013637543,0.513866305351257,65.8662643432617
112,0.764637768268585,0.5169997215271,66.0424728393555
113,0.767642498016357,0.518866300582886,66.1040344238281
114,0.756044745445251,0.513066411018372,65.5027618408203
115,0.772121548652649,0.520399510860443,66.3413848876953
116,0.770839393138885,0.52273291349411,66.4438781738281
117,0.77678644657135,0.52739953994751,66.7860794067383
118,0.777208864688873,0.528332769870758,66.8598251342773
119,0.771808564662933,0.522266209125519,66.2401504516602
120,0.754333436489105,0.518666207790375,65.5098342895508
121,0.767209053039551,0.523066222667694,66.4221267700195
122,0.748670995235443,0.529466092586517,65.6304397583008
123,0.767751276493073,0.516932904720306,66.0752105712891
124,0.773497879505157,0.53119945526123,66.9641418457031
125,0.767924427986145,0.523266315460205,66.4948501586914
126,0.769145011901855,0.530466139316559,66.7939147949219
127,0.768981397151947,0.534132719039917,67.2065048217773
128,0.770486354827881,0.521532893180847,66.3386993408203
129,0.772217452526093,0.532066106796265,67.1009140014648
130,0.778262376785278,0.539599299430847,67.6166534423828
131,0.760834693908691,0.521999537944794,65.8350219726562
132,0.77971887588501,0.541399419307709,67.807487487793
